en_name,zh_name,unit,qc_code,qc_lower_limit,qc_upper_limit
swc_1_1_5,土壤含水量5,,,,
rh_12m_avg,空气相对湿度（12m高度）,,,,
soilg_c_avg,土壤热通量3,,,,
wd_std12,未命名,,,,
rh_1_5m_avg,空气相对湿度（1.5m高度）,,,,
wd_sd12,未命名,,,,
t_109_c_avg,土壤温度4,,,,
ts_1_1_5,土壤温度5,,,,
e_1_5m_avg,未命名,,,,
e_8m_avg,未命名,,,,
wd_2m_avg,下层风向（2m高度）,,,,
wd_12m_avg,上层风向（12m高度）,,,,
par_down_avg,反射光合有效辐射,,,,
soilg_b_avg,土壤热通量2,,,,
vwc_c_avg,土壤含水量3,,,,
t_109_a_avg,土壤温度1,,,,
deg_c_avg,未命名,,,,
ta_1_5m_avg,空气温度（1.5m高度）,,,,
irct_1_5m_avg,未命名,,,,
e_5m_avg,未命名,,,,
e_12m_avg,未命名,,,,
rh_1_5_1,第五层空气相对湿度,,,,
rh_5m_avg,空气相对湿度（5m高度）,,,,
ws_12m,未命名,,,,
t_109_b_avg,土壤温度3,,,,
vwc_d_avg,土壤含水量4,,,,
ta_1_4_1,第四层空气温度,,,,
ws_12m_avg,上层风速（12m高度）,,,,
p_rain_1_1_2,未命名,,,,
wd_std2,未命名,,,,
ta_8m_avg,空气温度（8m高度）,,,,
vwc_e_avg,土壤含水量5,,,,
ws_2m,未命名,,,,
soilg_a_avg,土壤热通量1,,,,
vwc_b_avg,土壤含水量2,,,,
rh_8m_avg,空气相对湿度（8m高度）,,,,
t_109_e_avg,土壤温度2,,,,
irct_12m_avg,未命名,,,,
rain_a_tot,降水量1,,,,
vwc_a_avg,土壤含水量1,,,,
soilg_d_avg,土壤热通量4,,,,
_0_0_1,未命名,,,,
TC_dTCa(1),第1通道TC温差均值,[℃],tc_dtca_1_,3.0,12.0
TC_dTCa(2),第2通道TC温差均值,[℃],tc_dtca_2_,3.0,12.0
TC_dTCa(3),第3通道TC温差均值,[℃],tc_dtca_3_,3.0,12.0
TC_dTCa(4),第4通道TC温差均值,[℃],tc_dtca_4_,3.0,12.0
TC_dTCa(5),第5通道TC温差均值,[℃],tc_dtca_5_,3.0,12.0
TC_dTCa(6),第6通道TC温差均值,[℃],tc_dtca_6_,3.0,12.0
TC_dTCa(7),第7通道TC温差均值,[℃],tc_dtca_7_,3.0,12.0
TC_dTCa(8),第8通道TC温差均值,[℃],tc_dtca_8_,3.0,12.0
TC_dTCa(9),第9通道TC温差均值,[℃],tc_dtca_9_,3.0,12.0
TC_dTCa(10),第10通道TC温差均值,[℃],tc_dtca_10_,3.0,12.0
TC_dTCa(11),第11通道TC温差均值,[℃],tc_dtca_11_,3.0,12.0
TC_dTCa(12),第12通道TC温差均值,[℃],tc_dtca_12_,3.0,12.0
TC_dTCa(13),第13通道TC温差均值,[℃],tc_dtca_13_,3.0,12.0
TC_dTCa(14),第14通道TC温差均值,[℃],tc_dtca_14_,3.0,12.0
TC_dTCa(15),第15通道TC温差均值,[℃],tc_dtca_15_,3.0,12.0
TC_dTCa(16),第16通道TC温差均值,[℃],tc_dtca_16_,3.0,12.0
TC_dTCa(17),第17通道TC温差均值,[℃],tc_dtca_17_,3.0,12.0
TC_dTCa(18),第18通道TC温差均值,[℃],tc_dtca_18_,3.0,12.0
TC_dTCa(19),第19通道TC温差均值,[℃],tc_dtca_19_,3.0,12.0
TC_dTCa(20),第20通道TC温差均值,[℃],tc_dtca_20_,3.0,12.0
TSP,总悬浮颗粒物,ug/m^3,,,
TSP,TSP浓度,μg/m3,tsp,0.0,1000.0
